Name, Text, Date, Time
"Text","LTJ-WDTN-C6H-HBJ",06/18/2022,21:25:16
"Text","JLB-GJTL-PML-KMD",06/18/2022,21:25:06
"Text","JDL-WK79-RYT-64P",06/18/2022,21:25:01
"Text","JZJ-T6HQ-9KQ-NXN",06/18/2022,21:24:55
"Text","JHP-246V-QNJ-KY9",06/18/2022,21:24:50
"Text","LVR-YN92-M2B-4VT",06/18/2022,21:24:45
"Text","J76-GGD9-L2Z-TP4",06/18/2022,21:24:40
"Text","LZT-MCPY-WNR-YNT",06/18/2022,21:24:35
"Text","JMM-9LBC-6LM-X6G",06/18/2022,21:24:30
"Text","L2K-HCT7-GQN-KDY",06/18/2022,21:24:25
"Text","JLM-LMNX-Q4W-WN9",06/18/2022,21:24:18
"Text","J2P-WJRT-N62-2XW",06/18/2022,21:24:13
"Text","JYT-TP7M-H7B-BBP",06/18/2022,21:24:07
"Text","LCR-2XWW-H7H-7KP",06/18/2022,21:24:00
"Text","J4H-G2P2-DQJ-ZZG",06/18/2022,21:23:52
